PEAK_NUM,FRACHRSTART,FRAC_HRS_SINCE_JAN1,CH4,WKT,LON,LAT,CH4_BASELINE,PEAK_DIST_M,PEAK_CH4
CFADS2280_20131126_7906.075916,7906.075916,7906.075916,2.1417706029,POINT(-105.02591833 39.657393442),-105.02591833,39.657393442,2.12604613204,0.00731019198293,0.000114948900834
CFADS2280_20131126_7906.075916,7906.075916,7906.07608,2.1575402081,POINT(-105.02591833 39.657393344),-105.02591833,39.657393344,2.12604613204,0.0182195422946,0.00045852880934
CFADS2280_20131126_7906.075916,7906.075916,7906.076238,2.1822021984,POINT(-105.02591842 39.657393249),-105.02591842,39.657393249,2.12604613204,0.0313089460053,0.00119357823276
CFADS2280_20131126_7906.075916,7906.075916,7906.076396,2.2103150296,POINT(-105.0259185 39.657393154),-105.0259185,39.657393154,2.12604613204,0.0439123661834,0.00225565455668
CFADS2280_20131126_7906.075916,7906.075916,7906.076551,2.2300887745,POINT(-105.0259185 39.657393062),-105.0259185,39.657393062,2.12604613204,0.0541537970398,0.00332120008558
CFADS2280_20131126_7906.075916,7906.075916,7906.076698,2.2355278547,POINT(-105.02591853 39.657392974),-105.02591853,39.657392974,2.12604613204,0.064281727628,0.00443002337338
CFADS2280_20131126_7906.075916,7906.075916,7906.076854,2.2357388966,POINT(-105.02591862 39.65739288),-105.02591862,39.65739288,2.12604613204,0.0772813572778,0.00585598868795
CFADS2280_20131126_7906.075916,7906.075916,7906.077008,2.2384296603,POINT(-105.02591867 39.657392788),-105.02591867,39.657392788,2.12604613204,0.0883831197413,0.00710364392353
CFADS2280_20131126_7906.075916,7906.075916,7906.077167,2.242610086,POINT(-105.02591867 39.657392692),-105.02591867,39.657392692,2.12604613204,0.0990698302345,0.00834932915347
CFADS2280_20131126_7906.075916,7906.075916,7906.07732,2.2460348052,POINT(-105.02591873 39.6573926),-105.02591873,39.6573926,2.12604613204,0.110529695676,0.00972438320238
CFADS2280_20131126_7906.075916,7906.075916,7906.077469,2.2462426269,POINT(-105.02591882 39.657392511),-105.02591882,39.657392511,2.12604613204,0.123085634714,0.0112335630645
CFADS2280_20131126_7906.075916,7906.075916,7906.077625,2.2444165761,POINT(-105.02591883 39.657392417),-105.02591883,39.657392417,2.12604613204,0.133584742448,0.0124763471093
CFADS2280_20131126_7906.075916,7906.075916,7906.077789,2.2393599015,POINT(-105.02591885 39.657392319),-105.02591885,39.657392319,2.12604613204,0.14462792422,0.0137276916627
CFADS2280_20131126_7906.075916,7906.075916,7906.077943,2.2332378183,POINT(-105.02591894 39.657392226),-105.02591894,39.657392226,2.12604613204,0.157538116714,0.0151115569661
CFADS2280_20131126_7906.075916,7906.075916,7906.078099,2.2262078412,POINT(-105.025919 39.657392133),-105.025919,39.657392133,2.12604613204,0.169097573904,0.0162693719552
CFADS2280_20131126_7906.075916,7906.075916,7906.07825,2.2225989674,POINT(-105.025919 39.657392042),-105.025919,39.657392042,2.12604613204,0.179227685247,0.0172474629279
CFADS2280_20131126_7906.075916,7906.075916,7906.078396,2.2243767867,POINT(-105.02591905 39.657391955),-105.02591905,39.657391955,2.12604613204,0.189818160878,0.0182888313299
CFADS2280_20131126_7906.075916,7906.075916,7906.078552,2.2275508609,POINT(-105.02591914 39.657391861),-105.02591914,39.657391861,2.12604613204,0.202817791232,0.0196083552843
CFADS2280_20131126_7906.075916,7906.075916,7906.078711,2.2213532167,POINT(-105.02591923 39.657391766),-105.02591923,39.657391766,2.12604613204,0.215907195041,0.0208558682013
CFADS2280_20131126_7906.075916,7906.075916,7906.078858,2.2027620671,POINT(-105.02591932 39.657391677),-105.02591932,39.657391677,2.12604613204,0.228463134136,0.0218191088096
CFADS2280_20131126_7906.075916,7906.075916,7906.079009,2.1802764291,POINT(-105.02591933 39.657391587),-105.02591933,39.657391587,2.12604613204,0.238518513891,0.0223644150407
CFADS2280_20131126_7906.075916,7906.075916,7906.079169,2.1662740493,POINT(-105.02591933 39.657391509),-105.02591933,39.657391509,2.12604613204,0.247201466018,0.0227137121205
